name,population,population_rank,econsumption,econsumption_rank,fossil,fossil_rank,nuclear,nuclear_rank,hydroelectric,hydro_rank,other,other_rank,emissions,emissions_rank,gdp,gdp_rank,gdppc,gdppc_rank,lat,lon
Bhutan,766397.0,165,2184000000.0,141,1.0,211,0.0,51,99.0,2,0.0,177,604900.0,181,7205000000.0,167,9000.0,145,27.3,90.3
Guyana,740685.0,166,790100000.0,161,89.0,57,0.0,105,0.0,177,11.0,78,2131000.0,158,6301000000.0,171,8100.0,151,5.0,-59.0
Solomon Islands,660121.0,167,95790000.0,202,92.0,52,0.0,184,0.0,201,8.0,90,233500.0,196,1330000000.0,200,2200.0,207,-8.0,159.0
Western Sahara,619551.0,168,0.0,219,100.0,22,0.0,212,0.0,214,0.0,214,268400.0,194,906500000.0,205,2500.0,198,24.3,-13.0
Montenegro,614249.0,169,2808000000.0,138,23.0,192,0.0,146,69.0,18,8.0,88,2287000.0,156,11080000000.0,160,17800.0,99,42.3,19.18
Macau,606340.0,170,5077000000.0,123,100.0,12,0.0,132,0.0,184,0.0,200,2563000.0,153,71820000000.0,98,110000.0,4,22.1,113.33
Luxembourg,605764.0,171,6475000000.0,111,25.0,189,0.0,131,8.0,122,67.0,2,10720000.0,103,62110000000.0,105,105100.0,5,49.45,6.1
Suriname,597927.0,172,1750000000.0,144,61.0,129,0.0,189,38.0,56,2.0,145,2075000.0,159,8688000000.0,162,14900.0,114,4.0,-56.0
Cabo Verde,568373.0,173,367400000.0,179,79.0,84,0.0,60,0.0,162,21.0,35,867800.0,172,3777000000.0,182,7000.0,157,16.0,-24.0
Brunei,450565.0,174,3771000000.0,129,100.0,5,0.0,56,0.0,161,0.0,179,10040000.0,107,33870000000.0,128,78900.0,9,4.3,114.4
Malta,449043.0,175,2122000000.0,142,81.0,80,0.0,139,0.0,186,19.0,43,8141000.0,116,19260000000.0,152,41900.0,43,35.5,14.35
Maldives,392473.0,176,373900000.0,178,96.0,40,0.0,137,0.0,185,4.0,114,1648000.0,161,6901000000.0,168,19200.0,93,3.15,73.0
Belize,385854.0,177,453000000.0,172,51.0,147,0.0,48,27.0,73,22.0,33,556700.0,183,3218000000.0,187,8300.0,149,17.15,-88.45
Iceland,343518.0,178,17680000000.0,73,4.0,206,0.0,109,71.0,16,25.0,29,3228000.0,144,18180000000.0,153,52200.0,25,65.0,-18.0
Bahamas,332634.0,179,1654000000.0,145,100.0,1,0.0,0,0.0,155,0.0,174,3089000.0,147,12060000000.0,156,32400.0,62,24.15,-76.0
Barbados,293131.0,180,990000000.0,155,93.0,50,0.0,46,0.0,157,7.0,91,1760000.0,160,5218000000.0,178,18600.0,95,13.1,-59.32
French Polynesia,290373.0,181,629900000.0,164,70.0,108,0.0,92,19.0,89,11.0,77,1030000.0,168,5490000000.0,177,17000.0,103,-15.0,-140.0
Vanuatu,288037.0,182,58590000.0,204,71.0,107,0.0,207,0.0,211,29.0,21,164800.0,203,772000000.0,207,2700.0,196,-16.0,167.0
New Caledonia,282754.0,183,2739000000.0,139,87.0,64,0.0,153,8.0,123,6.0,101,6165000.0,128,11110000000.0,159,31100.0,66,-21.3,165.3
Sao Tome and Principe,204454.0,184,61380000.0,203,88.0,60,0.0,177,11.0,115,1.0,166,148100.0,204,686000000.0,208,3200.0,191,1.0,7.0
Samoa,201316.0,185,122800000.0,199,48.0,155,0.0,176,23.0,85,29.0,20,341100.0,191,1137000000.0,204,5700.0,169,-13.35,-172.2
Guam,167772.0,186,1601000000.0,146,94.0,46,0.0,101,0.0,175,6.0,98,2214000.0,157,5793000000.0,174,35600.0,56,13.28,144.47
Saint Lucia,165510.0,187,343200000.0,181,99.0,25,0.0,173,0.0,196,1.0,165,437900.0,186,2542000000.0,191,14400.0,117,13.53,-60.58
Curacao,150241.0,188,968000000.0,156,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3128000000.0,189,15000.0,112,12.1,-69.0
Aruba,116576.0,189,873300000.0,158,87.0,61,0.0,39,0.0,154,13.0,66,1266000.0,162,4158000000.0,180,37500.0,51,12.3,-69.58
Grenada,112207.0,190,185100000.0,194,96.0,39,0.0,100,0.0,174,4.0,112,283600.0,193,1634000000.0,198,15100.0,110,12.07,-61.4
Kiribati,109367.0,191,26970000.0,210,73.0,99,0.0,119,0.0,181,27.0,25,58850.0,209,227000000.0,219,2000.0,210,1.25,173.0
Virgin Islands,106977.0,192,654700000.0,162,98.0,30,0.0,210,0.0,212,2.0,146,2764000.0,150,3872000000.0,181,37000.0,54,18.2,-64.5
Tonga,106398.0,193,48360000.0,205,74.0,98,0.0,196,0.0,205,26.0,28,139700.0,205,591000000.0,211,5900.0,167,-20.0,-175.0
"Micronesia, Federated States of",103643.0,194,178600000.0,195,96.0,41,0.0,143,1.0,149,3.0,127,105.0,214,348000000.0,215,3400.0,189,6.55,158.15
Saint Vincent and the Grenadines,101844.0,195,146000000.0,198,85.0,72,0.0,175,13.0,110,2.0,143,226800.0,197,1265000000.0,202,11500.0,133,13.15,-61.12
Jersey,99602.0,196,630100000.0,163,0.0,0,0.0,0,0.0,0,0.0,0,450000.0,185,5569000000.0,175,56600.0,21,49.15,-2.1
Antigua and Barbuda,95882.0,197,307800000.0,184,97.0,31,0.0,38,0.0,153,3.0,119,740300.0,175,2398000000.0,194,26400.0,78,17.03,-61.48
