name,population,population_rank,econsumption,econsumption_rank,fossil,fossil_rank,nuclear,nuclear_rank,hydroelectric,hydro_rank,other,other_rank,emissions,emissions_rank,gdp,gdp_rank,gdppc,gdppc_rank,lat,lon
Madagascar,25683610.0,52,1587000000.0,147,74.0,97,0.0,134,24.0,80,2.0,141,4021000.0,138,39850000000.0,119,1600.0,218,-20.0,47.0
Cameroon,25640965.0,53,6411000000.0,113,52.0,145,0.0,62,47.0,44,1.0,150,7672000.0,119,89540000000.0,88,3700.0,182,6.0,12.0
North Korea,25381085.0,54,13890000000.0,83,45.0,161,0.0,0,55.0,31,0.0,195,27830000.0,74,40000000000.0,117,1700.0,214,40.0,127.0
Taiwan,23545963.0,55,237400000000.0,16,79.0,88,11.0,14,4.0,133,6.0,105,348800000.0,21,1189000000000.0,22,50500.0,28,23.3,121.0
Australia,23470145.0,56,229400000000.0,19,72.0,101,0.0,40,11.0,113,17.0,49,439100000.0,15,1248000000000.0,19,50400.0,29,-27.0,133.0
Sri Lanka,22576592.0,57,12670000000.0,86,52.0,146,0.0,187,42.0,49,6.0,103,25190000.0,80,275800000000.0,61,12900.0,121,7.0,81.0
Romania,21457116.0,58,49640000000.0,49,47.0,156,6.0,20,29.0,70,19.0,45,72070000.0,50,483400000000.0,41,24600.0,83,46.0,25.0
Niger,19866231.0,59,1065000000.0,153,95.0,45,0.0,156,0.0,190,5.0,108,2534000.0,154,21860000000.0,146,1200.0,224,16.0,8.0
Malawi,19842560.0,60,1321000000.0,150,1.0,212,0.0,135,93.0,7,6.0,100,1082000.0,167,22420000000.0,145,1200.0,223,-13.3,34.0
Burkina Faso,19742715.0,61,1551000000.0,148,80.0,82,0.0,57,9.0,117,12.0,72,3421000.0,142,35850000000.0,126,1900.0,211,13.0,-2.0
Syria,19454263.0,62,14160000000.0,82,83.0,77,0.0,190,17.0,98,0.0,207,27510000.0,75,50280000000.0,110,2900.0,194,35.0,38.0
Kazakhstan,18744548.0,63,94230000000.0,33,86.0,66,0.0,117,14.0,107,1.0,155,304600000.0,23,478600000000.0,42,26300.0,79,48.0,68.0
Mali,18429893.0,64,2982000000.0,136,68.0,113,0.0,138,31.0,68,1.0,160,3388000.0,143,41220000000.0,116,2200.0,206,17.0,-4.0
Chile,17925262.0,65,73220000000.0,38,59.0,133,0.0,66,26.0,75,15.0,57,88230000.0,47,452100000000.0,44,24600.0,82,-30.0,-71.0
Netherlands,17151228.0,66,108800000000.0,32,75.0,95,1.0,31,0.0,189,23.0,32,250200000.0,26,924400000000.0,27,53900.0,23,52.3,5.45
Guatemala,16581273.0,67,10100000000.0,96,41.0,167,0.0,102,31.0,67,28.0,23,17150000.0,91,138100000000.0,77,8200.0,150,15.3,-90.15
Ecuador,16498502.0,68,22680000000.0,70,43.0,163,0.0,81,54.0,32,2.0,138,37540000.0,69,193000000000.0,66,11500.0,132,-2.0,-77.3
Cambodia,16449519.0,69,5857000000.0,117,35.0,178,0.0,61,63.0,27,2.0,136,10550000.0,104,64210000000.0,104,4000.0,177,13.0,105.0
Zambia,16445079.0,70,11040000000.0,91,5.0,205,0.0,214,93.0,9,2.0,147,3777000.0,140,68930000000.0,102,4000.0,178,-15.0,30.0
Chad,15833116.0,71,208600000.0,192,98.0,28,0.0,65,0.0,164,3.0,123,342200.0,190,28620000000.0,134,2300.0,202,15.0,19.0
Senegal,15020945.0,72,3497000000.0,133,82.0,79,0.0,179,7.0,127,11.0,80,8644000.0,113,54800000000.0,107,3500.0,188,14.0,-14.0
Zimbabwe,14030368.0,73,7118000000.0,108,58.0,136,0.0,215,37.0,58,5.0,110,12060000.0,100,34270000000.0,127,2300.0,203,-20.0,30.0
Rwanda,12187400.0,74,527300000.0,169,42.0,164,0.0,170,51.0,37,7.0,96,985600.0,169,24680000000.0,142,2100.0,208,-2.0,30.0
Guinea,11855411.0,75,556100000.0,168,33.0,182,0.0,103,67.0,20,0.0,190,2794000.0,149,27970000000.0,138,2200.0,205,11.0,-10.0
Burundi,11844520.0,76,382700000.0,176,14.0,200,0.0,59,73.0,14,14.0,61,217000.0,199,8007000000.0,164,700.0,227,-3.3,30.0
Belgium,11570762.0,77,82160000000.0,36,35.0,177,28.0,2,1.0,146,36.0,8,134700000.0,35,529200000000.0,37,46600.0,35,50.5,4.0
Tunisia,11516189.0,78,15270000000.0,79,94.0,49,0.0,198,1.0,151,5.0,109,23420000.0,82,137700000000.0,78,11900.0,131,34.0,9.0
Benin,11340504.0,79,1143000000.0,152,88.0,58,0.0,49,9.0,116,2.0,135,5664000.0,130,25390000000.0,141,2300.0,201,9.3,2.15
Bolivia,11306341.0,80,7785000000.0,105,76.0,93,0.0,52,18.0,92,7.0,92,17660000.0,90,83720000000.0,94,7600.0,154,-17.0,-65.0
Somalia,11259029.0,81,315300000.0,183,93.0,51,0.0,185,0.0,202,7.0,97,852500.0,173,20440000000.0,148,0.0,0,10.0,49.0
Cuba,11116396.0,82,16160000000.0,75,91.0,53,0.0,75,1.0,147,8.0,85,26940000.0,78,137000000000.0,79,12300.0,128,21.3,-80.0
Haiti,10788440.0,83,406200000.0,173,82.0,78,0.0,106,18.0,94,0.0,191,3595000.0,141,19970000000.0,150,1800.0,213,19.0,-72.25
Greece,10761523.0,84,56890000000.0,45,57.0,137,0.0,98,14.0,105,29.0,19,69370000.0,51,299300000000.0,56,27800.0,75,39.0,22.0
CZ,10686269.0,85,62340000000.0,42,60.0,131,0.0,0,5.0,130,16.0,51,115800000.0,39,375900000000.0,49,35500.0,57,49.45,15.3
Jordan,10458413.0,86,16820000000.0,74,87.0,62,0.0,116,0.0,180,12.0,74,27390000.0,76,89000000000.0,90,9200.0,144,31.0,36.0
Portugal,10355493.0,87,46940000000.0,52,41.0,168,0.0,167,25.0,78,35.0,10,54970000.0,57,314100000000.0,55,30500.0,67,39.3,-8.0
Dominican Republic,10298756.0,88,15640000000.0,78,77.0,92,0.0,80,16.0,99,7.0,93,23790000.0,81,173000000000.0,72,17000.0,102,19.0,-70.4
SS,10204581.0,89,391800000.0,175,100.0,18,0.0,0,0.0,203,1.0,168,1224000.0,163,20010000000.0,149,1600.0,220,8.0,30.0
Azerbaijan,10046516.0,90,20240000000.0,71,84.0,74,0.0,42,14.0,104,2.0,133,35600000.0,72,172200000000.0,73,17500.0,100,40.3,47.3
Sweden,10040995.0,91,133500000000.0,27,5.0,204,22.0,6,42.0,50,32.0,16,52310000.0,58,518000000000.0,40,51200.0,26,62.0,15.0
Hungary,9825704.0,92,39370000000.0,56,64.0,122,22.0,5,1.0,148,13.0,67,51280000.0,59,289600000000.0,59,29600.0,68,47.0,20.0
United Arab Emirates,9701315.0,93,113200000000.0,31,99.0,26,0.0,204,0.0,210,1.0,170,289400000.0,24,696000000000.0,32,68600.0,13,24.0,54.0
Belarus,9527543.0,94,31720000000.0,61,96.0,37,0.0,47,1.0,145,3.0,121,56070000.0,54,179400000000.0,70,18900.0,94,53.0,28.0
Honduras,9182766.0,95,7220000000.0,107,40.0,169,0.0,107,25.0,77,34.0,11,9436000.0,110,46300000000.0,112,5600.0,170,15.0,-86.3
Austria,8793370.0,96,64600000000.0,41,25.0,188,0.0,41,43.0,45,31.0,17,63930000.0,53,441000000000.0,45,50000.0,31,47.2,13.2
Tajikistan,8604882.0,97,12960000000.0,85,6.0,201,0.0,191,94.0,6,0.0,208,6329000.0,126,28430000000.0,135,3200.0,192,39.0,71.0
Israel,8424904.0,98,55000000000.0,47,95.0,44,0.0,113,0.0,179,5.0,107,73820000.0,49,317100000000.0,54,36400.0,55,31.3,34.45
Switzerland,8292809.0,99,58460000000.0,43,3.0,209,18.0,11,67.0,21,13.0,71,38950000.0,66,523100000000.0,39,62100.0,16,47.0,8.0
Togo,8176449.0,100,1261000000.0,151,70.0,110,0.0,195,29.0,71,1.0,169,2651000.0,151,12970000000.0,155,1700.0,215,8.0,1.1
Laos,7234171.0,101,5471000000.0,120,28.0,186,0.0,124,72.0,15,1.0,157,10420000.0,105,49340000000.0,111,7400.0,155,18.0,105.0
Hong Kong,7213338.0,102,41840000000.0,54,100.0,9,0.0,108,0.0,178,0.0,192,102500000.0,43,455900000000.0,43,61500.0,18,22.15,114.1
Serbia,7078110.0,103,29810000000.0,62,65.0,119,0.0,180,35.0,61,1.0,167,50210000.0,60,105700000000.0,82,15100.0,111,44.0,21.0
Bulgaria,7057504.0,104,32340000000.0,60,39.0,170,20.0,8,23.0,83,19.0,41,46310000.0,63,153500000000.0,76,21800.0,87,43.0,25.0
Papua New Guinea,7027332.0,105,3237000000.0,134,63.0,123,0.0,162,30.0,69,7.0,95,6082000.0,129,30190000000.0,132,3700.0,184,-6.0,147.0
Paraguay,7025763.0,106,10900000000.0,92,0.0,214,0.0,163,99.0,3,1.0,162,7740000.0,117,88910000000.0,91,12800.0,123,-23.0,-58.0
Libya,6754507.0,107,27300000000.0,65,100.0,11,0.0,129,0.0,183,0.0,199,46480000.0,62,61970000000.0,106,9600.0,141,25.0,17.0
Sierra Leone,6312212.0,108,279000000.0,188,23.0,194,0.0,182,51.0,38,26.0,27,984800.0,170,11550000000.0,158,1600.0,219,8.3,-11.3
El Salvador,6187271.0,109,5928000000.0,116,49.0,154,0.0,83,23.0,84,29.0,18,7331000.0,124,51170000000.0,109,8000.0,152,13.5,-88.55
Lebanon,6100075.0,110,15710000000.0,77,88.0,59,0.0,126,11.0,114,1.0,158,23360000.0,83,88250000000.0,92,19600.0,91,33.5,35.5
Nicaragua,6085213.0,111,3590000000.0,132,56.0,139,0.0,155,9.0,120,35.0,9,5405000.0,132,36400000000.0,124,5900.0,165,13.0,-85.0
Singapore,5995991.0,112,47690000000.0,51,98.0,29,0.0,183,0.0,200,2.0,144,249500000.0,27,528100000000.0,38,94100.0,7,1.22,103.48
Eritrea,5970646.0,113,353900000.0,180,99.0,23,0.0,85,0.0,169,1.0,152,597100.0,182,9402000000.0,161,1600.0,217,15.0,39.0
Kyrgyzstan,5849296.0,114,10520000000.0,94,24.0,190,0.0,123,76.0,13,0.0,197,10020000.0,108,23150000000.0,144,3700.0,183,41.0,75.0
Denmark,5809502.0,115,33020000000.0,59,46.0,158,0.0,77,0.0,167,54.0,3,37450000.0,70,287800000000.0,60,50100.0,30,56.0,10.0
Central African Republic,5745062.0,116,159400000.0,196,50.0,151,0.0,64,50.0,40,1.0,151,413800.0,187,3390000000.0,185,700.0,228,7.0,21.0
Finland,5537364.0,117,82790000000.0,35,41.0,165,17.0,12,20.0,88,23.0,30,46010000.0,64,244900000000.0,62,44500.0,38,64.0,26.0
Slovakia,5445040.0,118,26640000000.0,66,36.0,176,27.0,3,24.0,81,13.0,70,34860000.0,73,179700000000.0,69,33100.0,61,48.4,19.3
Turkmenistan,5411012.0,119,15090000000.0,80,100.0,20,0.0,200,0.0,207,0.0,210,100500000.0,44,103700000000.0,84,18200.0,96,40.0,60.0
Norway,5372191.0,120,122200000000.0,29,3.0,208,0.0,159,93.0,8,4.0,115,39800000.0,65,381200000000.0,48,72100.0,11,62.0,10.0
Ireland,5068050.0,121,25680000000.0,68,65.0,117,0.0,112,2.0,138,33.0,12,36910000.0,71,353300000000.0,51,73200.0,10,53.0,-8.0
CG,5062021.0,122,912000000.0,157,64.0,121,0.0,0,36.0,59,0.0,183,5239000.0,134,29390000000.0,133,6800.0,161,-1.0,15.0
Costa Rica,4987142.0,123,9812000000.0,98,18.0,196,0.0,72,64.0,25,18.0,48,7653000.0,120,83940000000.0,93,16900.0,104,10.0,-84.0
Georgia,4926087.0,124,12370000000.0,87,35.0,179,0.0,95,65.0,22,0.0,187,9912000.0,109,39850000000.0,118,10700.0,138,42.0,43.3
Liberia,4809768.0,125,279000000.0,187,57.0,138,0.0,128,43.0,46,0.0,198,1163000.0,164,6112000000.0,173,1300.0,221,6.3,-9.3
